"ISIR_Field","Discrepancy_Evaluation_Script","Additional_Doc_Req_Script","Required_Documents_Script","Aid_Year","Additional_Doc_Req_Msg","Manual_Discrepancy_Clear_Req","Description"
"PERMANENTZIPCODE","","","","2015-2016","","false",""
"PREPARERSEMPLOYERIDENTIFICATIONNUMBEREIN","","","","2015-2016","","false",""
"PREPARERSSIGNATURE","","","","2015-2016","","false",""
"PREPARERSSOCIALSECURITYNUMBER","","","","2015-2016","","false",""
"PRIMARYEFC","","","","2015-2016","","false",""
"PRIMARYEFCTYPE","","","","2015-2016","","false",""
"REJECTOVERRIDE3","","","","2015-2016","","false",""
"SECONDARYEFC","","","","2015-2016","","false",""
"SECONDARYEFCTYPE","","","","2015-2016","","false",""
"SIGNATUREREJECTEFC","","","","2015-2016","","false",""
"SIGNEDBY","","","","2015-2016","","false",""
"SPECIALCIRCUMSTANCESFLAG","","","","2015-2016","","false",""
"SPOUSESINCOMEEARNEDFROMWORK","","","","2015-2016","","false",""
"STUDENTASSETTHRESHOLDEXCEEDED","","","","2015-2016","","false",""
"STUDENTELIGIBLETOFILE1040AOR1040EZ","","","","2015-2016","","false",""
"STUDENTFIRSTNAME","","","","2015-2016","","false",""
"STUDENTFOODSTAMPBENEFITS","","","","2015-2016","","false",""
"STUDENTFREEORREDUCEDPRICESCHOOLLUNCHBENEFITS","","","","2015-2016","","false",""
"STUDENTLASTNAME","","","","2015-2016","","false",""
"STUDENTLEGALRESDATE","","","","2015-2016","","false",""
"STUDENTMARITALSTATUS","","","","2015-2016","","false",""
"STUDENTMIDDLEINITIAL","","","","2015-2016","","false",""
"STUDENTSADJUSTEDGROSSINCOMEFROMIRSFORM","","","","2015-2016","","false",""
"STUDENTSBUSINESSANDORINVESTMENTFARMNETWORTH","","","","2015-2016","","false",""
"STUDENTSCASHSAVINGSANDCHECKING","","","","2015-2016","","false",""
"STUDENTSCHILDSUPPORTPAID","","","","2015-2016","","false",""
"STUDENTSCHILDSUPPORTRECEIVED","","","","2015-2016","","false",""
"STUDENTSCOMBATPAY","","","","2015-2016","","false",""
"STUDENTSCOOPERATIVEEDUCATION","","","","2015-2016","","false",""
"STUDENTSCURRENTSOCIALSECURITYNUMBER","","","","2015-2016","","false",""
"STUDENTSEDUCATIONALCREDITS","","","","2015-2016","","false",""
"STUDENTSEX","","","","2015-2016","","false",""
"STUDENTSEXEMPTIONSCLAIMED","","","","2015-2016","","false",""
"STUDENTSGRANTSCHOLARSHIPAID","","","","2015-2016","","false",""
"STUDENTSINCOMEEARNEDFROMWORK","","","","2015-2016","","false",""
"STUDENTSINTERESTINCOME","","","","2015-2016","","false",""
"STUDENTSINVESTMENTNETWORTH","","","","2015-2016","","false",""
"STUDENTSIRADISTRIBUTIONS","","","","2015-2016","","false",""
"STUDENTSIRAPAYMENTS","","","","2015-2016","","false",""
"STUDENTSIRSREQUESTFLAG","","","","2015-2016","","false",""
"STUDENTSMILITARYCLERGYALLOWANCES","","","","2015-2016","","false",""
"STUDENTSNEEDBASEDEMPLOYMENT","","","","2015-2016","","false",""
"STUDENTSNUMBERINCOLLEGE","","","","2015-2016","","false",""
"STUDENTSNUMBEROFFAMILYMEMBERS","","","","2015-2016","","false",""
"STUDENTSOTHERNONREPORTEDMONEY","","","","2015-2016","","false",""
"STUDENTSOTHERUNTAXEDINCOME","","","","2015-2016","","false",""
"STUDENTSPENSIONPAYMENTS","","","","2015-2016","","false",""
"STUDENTSPOUSEDISLOCATEDWORKER","","","","2015-2016","","false",""
"STUDENTSSN","","","","2015-2016","","false",""
"STUDENTSTAXRETURNCOMPLETED","","","","2015-2016","","false",""
"STUDENTSTYPEOFTAXFORMUSED","","","","2015-2016","","false",""
"STUDENTSUNTAXEDPENSIONS","","","","2015-2016","","false",""
"STUDENTSUPPLEMENTALSECURITYINCOMEBENEFITS","","","","2015-2016","","false",""
"STUDENTSUSINCOMETAXPAID","","","","2015-2016","","false",""
"STUDENTSVETERANSNONEDUCATIONBENEFITS","","","","2015-2016","","false",""
"STUDENTTANFBENEFITS","","","","2015-2016","","false",""
"STUDENTWICBENEFITS","","","","2015-2016","","false",""
"STUNDENTSLEGALRESIDENCEBEFORE","","","","2015-2016","","false",""
"TRANSACTIONDATASOURCETYPECODE","","","","2015-2016","","false",""
"TRANSACTIONNUMBER","","","","2015-2016","","false",""
"TRANSACTIONRECEIPTDATE","","","","2015-2016","","false",""
"UNACCOMPANIEDYOUTHDETERMINEDBYHUD","","","","2015-2016","","false",""
"UNACCOMPANIEDYOUTHDETERMINEDBYSCHOOLDISTRICTLIAISON","","","","2015-2016","","false",""
"VETERANOFUSARMEDFORCES","","","","2015-2016","","false",""
"WORKINGONAMASTERSORDOCTORATEPROGRAM","","","","2015-2016","","false",""
"ALIENREGISTRATIONNUMBER","","","","2016-2017","","false",""
"AREYOUONACTIVEDUTYINUSARMEDFORCES","","","","2016-2017","","false",""
"ASOFTODAYANEMANCIPATEDMINOR","","","","2016-2017","","false",""
"ASOFTODAYINLEGALGUARDIANSHIP","","","","2016-2017","","false",""
"ATRISKOFHOMELESSNESS","","","","2016-2017","","false",""
"BORNBEFORE","","","","2016-2017","","false",""
"CITIZENSHIPSTATUS","","","","2016-2017","","false",""
"DATEAPPLICATIONCOMPLETED","","","","2016-2017","","false",""
"DATEOFBIRTH","","","","2016-2017","","false",""
"DEGREECERTIFICATE","","","","2016-2017","","false",""
"DEPENDENCYOVERRIDE","","","","2016-2017","","false",""
"DEPENDENCYSTATUS","","","","2016-2017","","false",""
"DOYOUWANTSELECTIVESERVICETOREGISTERYOU","","","","2016-2017","","false",""
"DRIVERLICENSENUMBER","","","","2016-2017","","false",""
"DRIVERLICENSESTATE","","","","2016-2017","","false",""
"DRUGCONVICTIONAFFECTINGELIGIBILITY","","","","2016-2017","","false",""
"EMAILADDRESS","","","","2016-2017","","false",""
"FAAFEDERALSCHOOLCODE","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE1","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE10","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE10HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE1HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE2","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE2HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE3","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE3HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE4","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE4HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE5","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE5HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE6","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE6HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE7","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE7HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE8","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE8HOUSINGPLANS","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE9","","","","2016-2017","","false",""
"FEDERALSCHOOLCODE9HOUSINGPLANS","","","","2016-2017","","false",""
"FIRSTBACHELORSDEGREEBY","","","","2016-2017","","false",""
"GRADELEVELINCOLLEGE","","","","2016-2017","","false",""
"HAVECHILDRENYOUSUPPORT","","","","2016-2017","","false",""
"HAVELEGALDEPENDENTSOTHERTHANCHILDRENORSPOUSE","","","","2016-2017","","false",""
"HIGHSCHOOLCITY","","","","2016-2017","","false",""
"HIGHSCHOOLCODE","","","","2016-2017","","false",""
"HIGHSCHOOLNAME","","","","2016-2017","","false",""
"HIGHSCHOOLSTATE","","","","2016-2017","","false",""
"HSDIPLOMAOREQUIVALENT","","","","2016-2017","","false",""
"INTERESTEDINWORKSTUDY","","","","2016-2017","","false",""
"ISSTUDENTMARRIED","","","","2016-2017","","false",""
"LEGALSTATERESIDENCE","","","","2016-2017","","false",""
"MAILINGADDRESS","","","","2016-2017","","false",""
